F1_CL,F2_CL,F3_CL,F1_CD,F2_CD,F3_CD
0,0,36,0,0,82
0,47,16,12,0,62
0,35,65,47,0,89
23,65,24,14,0,74
0,81,65,53,0,87
16,70,6,63,43,84
8,19,80,28,9,74
24,48,40,70,0,79
28,32,9,21,0,84
48,59,24,58,16,81
32,45,19,80,19,84
35,68,33,82,37,66
11,26,64,69,23,77
39,41,26,64,49,30
46,56,37,63,51,0
67,82,7,63,29,0
26,80,9,78,41,0
62,18,2,65,36,0
40,43,0,86,0,55
48,70,0,76,0,60
17,37,0,68,0,60
40,0,0,68,0,25
16,0,0,32,0,30
31,0,0,22,15,73
23,56,0,21,20,86
17,43,0,0,13,87
34,78,14,19,0,80
16,70,0,42,0,62
0,66,29,48,0,88
0,77,15,59,0,88
0,32,39,84,0,87
0,15,33,69,9,85
14,10,62,74,0,92
0,36,51,81,0,98
0,53,38,76,0,78
21,37,62,80,0,92
37,73,18,68,0,84
19,62,19,75,0,77
0,72,41,74,0,90
0,8,62,46,0,92
0,18,13,31,0,87
0,10,26,59,0,92
13,7,4,85,0,92
36,21,0,32,0,86
45,15,0,74,0,86
54,65,0,63,0,69
43,78,0,36,0,73
22,66,42,22,0,86
29,34,0,41,0,63
0,37,0,10,6,39
0,18,0,0,0,33
0,62,0,69,3,71
1,29,0,73,22,48
62,67,10,85,0,84
26,31,49,67,0,77
7,74,33,14,3,65
42,59,24,6,0,69
0,56,0,19,0,52
32,42,10,12,0,67
8,68,8,0,36,70
0,66,23,0,40,68
0,56,34,76,52,25
0,39,0,67,27,72
0,52,5,87,34,64
0,26,5,73,0,51
0,45,0,88,0,62
0,63,0,89,0,88
0,35,15,72,0,77
0,48,36,81,0,76
0,52,33,85,0,70
0,31,43,69,0,53
0,73,0,77,0,22
0,35,37,72,0,50
0,92,36,83,0,42
0,80,11,75,0,18
0,76,46,82,0,42
0,82,28,61,0,12
0,56,0,80,0,64
0,73,0,86,0,49
0,69,21,90,0,85
0,76,24,74,0,83
0,75,43,74,0,80
0,83,0,77,0,85
0,67,30,72,0,96
33,68,48,82,0,89
27,42,34,55,0,93
18,43,0,71,0,80
9,27,0,72,0,90
0,35,0,73,0,83
0,52,3,80,0,81
10,42,25,77,12,82
0,80,0,75,0,89
8,48,0,72,0,69
55,32,0,72,0,83
67,83,2,81,0,80
62,68,16,68,0,78
30,17,36,76,0,80
25,57,0,77,4,69
4,12,0,76,31,81
47,11,0,69,10,82
6,67,0,72,0,78
0,39,0,76,0,69
0,8,0,78,13,70
8,0,0,80,36,66
4,8,0,81,70,66
18,52,0,83,64,44
38,0,0,75,25,61
0,0,33,66,44,60
0,0,40,69,3,83
0,0,48,47,18,80
0,0,23,58,67,59
0,16,9,87,58,85
0,18,0,83,72,81
8,27,13,77,55,91
0,46,34,79,74,50
4,42,2,78,68,51
12,35,63,76,70,34
0,47,21,87,49,0
0,0,18,60,62,82
0,0,37,67,69,80
14,0,42,81,52,79
46,15,30,65,70,69
5,59,32,33,59,85
23,6,17,69,5,77
0,68,10,57,44,60
51,74,11,56,84,59
6,43,45,60,74,31
2,44,37,70,78,62
65,5,22,85,79,80
64,27,11,83,68,82
0,13,0,68,27,43
55,26,0,77,17,66
35,22,0,76,36,68
36,25,0,90,2,65
45,42,0,85,0,65
2,42,29,92,0,76
3,48,10,80,0,59
19,0,0,82,0,41
14,28,0,81,0,0
0,2,0,66,52,0
0,30,37,78,49,44
0,31,28,72,65,15
0,14,0,93,78,33
0,32,0,88,63,53
0,12,0,82,70,68
0,13,0,64,54,22
0,11,0,6,29,0
0,0,0,52,77,51
0,24,0,80,64,18
0,0,15,74,27,42
0,27,44,71,44,1
0,25,0,57,27,29
0,46,23,80,0,5
0,53,8,72,0,60
0,25,38,92,14,50
0,28,34,84,62,30
0,76,9,89,63,74
0,78,22,79,38,71
0,65,69,75,43,46
14,31,66,42,3,15
0,61,47,60,0,60
0,64,54,86,0,75
0,42,37,90,0,64
0,39,65,84,14,31
0,37,89,86,3,56
0,41,73,70,59,84
0,9,79,86,51,71
0,0,41,87,82,41
0,0,47,75,75,56
13,0,58,77,83,66
27,0,7,88,78,82
42,4,41,89,81,88
38,44,64,81,64,69
63,32,48,86,80,58
53,59,55,87,84,76
20,39,7,90,84,83
18,0,0,80,85,56
0,23,0,76,88,58
0,29,0,79,88,71
1,36,0,78,87,74
27,63,5,81,89,72
0,81,43,78,77,48
0,87,0,82,83,72
0,90,65,51,84,88
0,64,31,59,84,44
0,60,33,85,85,83
0,4,0,85,91,78
0,65,0,81,83,80
0,59,0,83,88,87
0,71,0,79,83,53
0,77,0,61,84,72
0,42,0,29,82,81
0,67,0,46,85,58
0,46,0,51,94,72
0,42,0,32,86,89
0,49,0,36,78,91
0,46,0,39,89,91
0,36,0,45,91,88
0,0,0,30,92,91
0,37,0,40,71,89
0,0,0,60,94,85
0,4,0,53,90,94
0,18,0,51,91,90
0,0,0,10,95,74
0,0,0,28,84,85
0,0,0,5,93,72
0,0,0,18,91,77
0,0,0,0,85,87
0,0,0,0,94,79
0,0,0,48,84,85
0,0,0,93,85,88
0,0,0,75,90,71
0,0,0,77,87,24
0,48,0,75,95,0
0,20,0,72,88,0
0,24,0,77,93,0
0,0,0,74,87,0
0,0,0,79,88,0
0,0,0,80,93,0
0,27,0,85,80,0
0,24,0,86,74,10
0,30,0,92,97,52
0,0,0,81,76,81
0,44,0,69,81,72
0,11,0,90,81,23
0,6,0,77,76,72
0,1,0,85,87,78
0,27,0,50,91,82
0,12,0,38,89,89
0,0,0,80,85,87
0,18,0,77,89,86
0,25,0,82,89,78
0,19,0,76,95,87
0,35,0,77,86,76
0,60,0,90,91,73
0,37,0,84,91,70
0,70,0,83,98,91
0,32,0,71,88,74
0,0,8,79,88,88
14,0,0,79,93,72
8,0,0,77,79,72
0,0,0,84,88,71
0,14,0,84,64,85
0,31,0,81,60,61
0,0,0,72,79,73
0,30,0,66,74,92
0,56,0,56,83,73
