CL_f1,CL_f2,CL_f3,CD_f1,CD_f2,CD_f3
0,50,0,0,0,15
0,35,0,0,12,0
0,18,0,0,47,6
23,28,0,0,14,17
0,0,0,0,53,2
16,0,0,43,63,55
8,3,0,9,28,85
24,40,0,0,70,81
28,14,0,0,21,75
48,15,0,16,58,84
32,24,0,19,80,79
35,0,0,37,82,78
11,0,0,23,69,88
39,13,0,49,64,87
46,0,0,51,63,84
67,0,0,29,63,83
26,0,0,41,78,71
62,9,0,36,65,44
40,3,0,0,86,37
48,0,6,0,76,16
17,0,20,0,68,0
40,10,0,0,68,0
16,0,0,0,32,0
31,0,0,15,22,0
23,0,0,20,21,0
17,0,0,13,0,10
34,0,0,0,19,42
16,0,0,0,42,0
0,0,0,0,48,17
0,18,0,0,59,53
0,4,0,0,84,72
0,19,0,9,69,25
14,28,0,0,74,0
0,5,0,0,81,27
0,1,0,0,76,21
21,0,0,0,80,66
37,0,0,0,68,57
19,0,0,0,75,10
0,0,0,0,74,54
0,0,0,0,46,2
0,0,0,0,31,23
0,0,0,0,59,49
13,0,0,0,85,57
36,8,0,0,32,26
45,2,0,0,74,48
54,10,0,0,63,40
43,0,0,0,36,67
22,0,0,0,22,39
29,0,0,0,41,54
0,0,0,6,10,75
0,0,0,0,0,19
0,0,0,3,69,50
1,0,0,22,73,26
62,0,0,0,85,55
26,0,0,0,67,80
7,0,0,3,14,77
42,0,0,0,6,91
0,0,0,0,19,84
32,7,0,0,12,62
8,0,0,36,0,70
0,0,0,40,0,90
0,12,0,52,76,61
0,0,0,27,67,90
0,9,0,34,87,87
0,2,0,0,73,85
0,0,0,0,88,50
0,0,23,0,89,38
0,0,23,0,72,23
0,0,27,0,81,24
0,0,27,0,85,49
0,0,9,0,69,73
0,5,0,0,77,71
0,14,10,0,72,74
0,21,0,0,83,62
0,8,16,0,75,44
0,5,15,0,82,33
0,24,12,0,61,65
0,9,21,0,80,64
0,3,57,0,86,31
0,2,21,0,90,35
0,26,0,0,74,68
0,40,0,0,74,52
0,29,0,0,77,47
0,45,0,0,72,6
33,45,0,0,82,0
27,44,0,0,55,0
18,47,0,0,71,0
9,28,0,0,72,0
0,8,0,0,73,28
0,3,0,0,80,69
10,7,0,12,77,0
0,6,0,0,75,0
8,45,0,0,72,50
55,39,0,0,72,61
67,0,0,0,81,26
62,0,0,0,68,0
30,0,0,0,76,12
25,0,0,4,77,1
4,11,0,31,76,44
47,9,0,10,69,18
6,0,0,0,72,0
0,37,0,0,76,0
0,26,0,13,78,6
8,0,0,36,80,6
4,1,0,70,81,33
18,11,14,64,83,44
38,0,21,25,75,63
0,0,2,44,66,81
0,0,18,3,69,74
0,0,13,18,47,68
0,1,4,67,58,77
0,19,7,58,87,59
0,30,0,72,83,53
8,13,0,55,77,35
0,4,0,74,79,81
4,4,21,68,78,75
12,1,60,70,76,76
0,15,56,49,87,79
0,2,25,62,60,76
0,3,3,69,67,51
14,0,42,52,81,79
46,0,46,70,65,64
5,0,34,59,33,66
23,0,0,5,69,42
0,0,0,44,57,54
51,0,0,84,56,44
6,0,0,74,60,34
2,0,0,78,70,62
65,0,0,79,85,0
64,0,0,68,83,4
0,0,0,27,68,0
55,0,0,17,77,3
35,0,0,36,76,17
36,0,1,2,90,0
45,0,30,0,85,0
2,0,31,0,92,0
3,25,0,0,80,0
19,0,0,0,82,2
14,0,0,0,81,0
0,0,0,52,66,0
0,0,0,49,78,0
0,0,0,65,72,0
0,0,0,78,93,0
0,0,0,63,88,0
0,0,0,70,82,0
0,0,0,54,64,0
0,0,0,29,6,0
0,0,0,77,52,0
0,0,0,64,80,0
0,0,0,27,74,0
0,0,0,44,71,0
0,0,0,27,57,0
0,0,0,0,80,0
0,0,0,0,72,0
0,0,0,14,92,20
0,0,0,62,84,70
0,0,0,63,89,0
0,0,2,38,79,0
0,0,0,43,75,0
14,0,0,3,42,0
0,0,0,0,60,48
0,0,0,0,86,62
