CL_f2_feb,CL_f3_feb,CL_notes_feb,CL_f1_aug,CL_notes_aug,CD_f2_aug,CD_f1_aug,CD_notes_aug,CD_f3_sept,CD_notes_sept
50,0,lights on ,0,lights on ,0,0,lights off,15,lights on
35,0,lights on ,0,lights on ,12,0,lights off,0,lights on
18,0,lights on ,0,lights on ,47,0,lights off,6,lights on
28,0,lights on ,23,lights on ,14,0,lights off,17,lights on
0,0,lights on ,0,lights on ,53,0,lights off,2,lights on
0,0,lights on ,16,lights on ,63,43,lights off,55,lights on
3,0,lights on ,8,lights on ,28,9,lights off,85,lights on
40,0,lights on ,24,lights on ,70,0,lights off,81,lights on
14,0,lights on ,28,lights on ,21,0,lights off,75,lights on
15,0,lights on ,48,lights on ,58,16,lights off,84,lights on
24,0,lights on ,32,lights on ,80,19,lights off,79,lights on
0,0,lights on ,35,lights on ,82,37,lights off,78,lights on
0,0,lights on ,11,lights on ,69,23,lights off,88,lights on
13,0,lights on ,39,lights on ,64,49,lights off,87,lights on
0,0,lights on ,46,lights on ,63,51,lights off,84,lights on
0,0,lights on ,67,lights on ,63,29,lights off,83,lights on
0,0,lights on ,26,lights on ,78,41,lights off,71,lights on
9,0,lights on ,62,lights on ,65,36,lights off,44,lights on
3,0,lights on ,40,lights on ,86,0,lights off,37,lights on
0,6,lights on ,48,lights on ,76,0,lights off,16,lights on
0,20,lights on ,17,lights on ,68,0,lights off,0,lights on
10,0,lights on ,40,lights on ,68,0,lights off,0,lights on
0,0,lights on ,16,lights on ,32,0,lights off,0,lights on
0,0,lights on ,31,lights on ,22,15,lights off,0,lights on
0,0,lights on ,23,lights on ,21,20,lights off,0,lights on
0,0,lights on ,17,lights on ,0,13,lights off,10,lights on
0,0,lights on ,34,lights on ,19,0,lights off,42,lights on
0,0,lights on ,16,lights on ,42,0,lights off,0,lights on
0,0,lights on ,0,lights on ,48,0,lights off,17,lights on
18,0,lights on ,0,lights on ,59,0,lights off,53,lights on
4,0,lights on ,0,lights on ,84,0,lights off,72,lights on
19,0,lights on ,0,lights on ,69,9,lights off,25,lights on
28,0,lights on ,14,lights on ,74,0,lights off,0,lights on
5,0,lights on ,0,lights on ,81,0,lights off,27,lights on
1,0,lights on ,0,lights on ,76,0,lights off,21,lights on
0,0,lights on ,21,lights on ,80,0,lights off,66,lights on
0,0,lights on ,37,lights on ,68,0,lights off,57,lights on
0,0,lights on ,19,lights on ,75,0,lights off,10,lights on
0,0,lights on ,0,lights on ,74,0,lights off,54,lights on
0,0,lights on ,0,lights on ,46,0,lights off,2,lights on
0,0,lights on ,0,lights on ,31,0,lights off,23,lights on
0,0,lights on ,0,lights on ,59,0,lights off,49,lights on
0,0,lights on ,13,lights on ,85,0,lights off,57,lights on
8,0,lights on ,36,lights on ,32,0,lights off,26,lights on
2,0,lights on ,45,lights on ,74,0,lights off,48,lights on
10,0,lights on ,54,lights on ,63,0,lights off,40,lights on
0,0,lights on ,43,lights on ,36,0,lights off,67,lights on
0,0,lights on ,22,lights on ,22,0,lights off,39,lights on
