Wheel1,Wheel2
220,253
20,145
162,38
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,36
281,225
182,423
40,147
209,303
291,72
293,169
0,482
139,353
142,622
671,0
327,0
51,0
0,0
0,0
0,0
0,0
0,0
0,0
0,65
0,157
1,518
130,439
205,196
507,266
462,371
328,59
222,118
345,132
164,380
95,411
254,341
100,40
206,86
326,571
44,308
348,181
573,124
365,11
303,247
8,99
57,272
389,204
111,58
47,96
118,30
50,135
123,181
205,0
1,411
28,91
0,169
0,70
0,215
0,82
0,39
0,65
0,132
0,159
0,164
0,7
0,13
0,0
90,0
774,0
349,0
707,0
340,0
578,0
785,0
225,0
654,0
473,0
335,0
333,438
408,323
283,522
0,244
190,202
689,330
251,394
499,517
505,438
253,385
600,348
247,213
444,498
0,206
120,231
0,266
0,345
0,366
0,75
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,261
0,197
0,423
0,282
366,468
148,160
694,226
50,15
204,445
165,53
87,268
0,38
0,19
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
10,0
75,10
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
105,0
55,28
0,317
0,531
0,398
0,354
0,278
56,64
54,0
0,0
0,0
0,0
14,0
103,0
373,4
138,114
212,517
201,556
32,283
0,124
0,277
57,418
192,715
640,525
608,946
549,469
504,1205
272,1125
209,559
170,887
809,1056
603,0
315,1095
389,640
158,343
65,950
759,1174
176,626
72,801
475,843
231,269
165,1151
170,733
204,801
971,458
241,922
0,1047
0,1179
0,945
0,721
20,304
208,1189
671,1350
492,1
55,930
400,661
671,365
648,1071
561,641
752,399
797,349
551,0
993,0
857,0
555,0
740,0
672,0
798,0
667,0
762,0
582,0
346,0
562,0
307,271
923,843
495,453
403,808
640,749
641,531
355,324
267,522
789,383
477,336
576,208
499,493
111,296
177,137
58,239
497,245
306,279
0,235
0,299
0,186
0,204
0,307
0,230
0,202
0,204
0,193
391,211
519,284
325,245
339,108
375,120
815,116
293,88
613,149
24,0
89,0
0,0
0,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,86
0,138
0,117
0,134
0,147
0,176
0,161
17,140
130,145
418,201
444,306
244,48
2,84
469,613
111,872
0,665
0,433
0,243
0,165
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
16,0
57,0
44,0
0,0
0,0
0,0
0,0
0,206
0,609
0,672
0,186
0,0
20,0
13,0
0,0
0,0
0,0
46,0
5,3
108,400
285,966
57,397
0,783
0,915
0,1133
0,959
0,302
18,765
27,1117
96,1045
80,343
191,779
550,1187
81,1056
182,858
0,26
0,1037
0,427
0,939
0,449
30,1008
105,937
641,466
323,0
842,0
711,0
915,23
569,105
830,200
553,332
865,232
418,166
619,489
901,273
368,300
666,21
741,0
647,0
644,0
766,4
814,73
829,348
443,280
614,113
934,285
781,139
554,146
563,72
788,0
494,0
803,0
833,0
225,0
677,0
351,0
972,94
422,171
439,199
547,206
574,199
474,93
211,216
637,104
344,214
448,209
852,208
431,87
469,172
933,111
1085,51
608,111
593,55
523,117
90,45
797,82
140,124
20,66
1113,122
815,8
85,44
192,37
515,92
573,77
1207,35
1032,0
196,0
1116,0
23,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,47
0,994
0,977
86,402
124,151
238,33
115,382
119,377
88,284
301,648
119,481
42,538
5,157
1,232
0,611
0,170
0,158
0,453
0,154
0,94
0,247
0,1
0,10
0,0
0,0
0,0
0,0
0,0
0,0
0,0
16,0
29,0
51,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
48,7
18,118
0,550
0,567
0,614
0,201
0,0
0,0
0,0
17,0
0,0
0,0
0,0
0,0
0,0
0,0
5,0
0,92
40,785
13,915
15,263
0,579
0,723
0,1175
12,643
0,440
0,32
9,0
0,0
140,0
358,1
3,438
250,755
0,741
0,970
0,247
0,870
0,737
0,1128
0,1103
64,296
38,923
18,1221
65,445
380,1238
0,550
0,921
0,1073
0,850
0,0
0,0
0,0
19,0
108,0
191,0
47,0
298,0
577,311
240,1165
157,1191
507,342
36,1314
232,996
243,987
195,945
50,1009
161,1042
74,282
127,1277
622,966
655,1036
887,185
589,1111
210,1107
759,1219
910,724
70,901
513,1142
271,1183
96,731
815,1130
298,833
505,983
9,331
295,772
56,298
47,300
3,297
17,600
492,188
0,266
0,0
0,380
0,657
0,124
0,0
0,0
0,0
256,0
16,0
861,0
1031,0
765,122
595,233
929,126
968,167
573,86
1100,51
1026,121
629,139
769,2
1055,0
1177,4
810,62
1141,53
846,0
474,0
1037,0
1112,0
889,0
1005,0
714,0
840,0
1008,0
726,0
954,0
641,65
1013,64
522,79
1054,63
272,15
300,21
314,0
10,2
7,0
69,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,61
30,47
306,0
683,0
132,0
291,0
0,0
101,0
0,0
0,0
0,0
0,0
0,0
0,7
0,32
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,0
131,0
0,0
0,0
0,0
0,0
0,23
0,266
0,505
0,678
0,125
0,564
2,757
62,49
248,0
0,0
0,0
0,0
0,0
0,62
0,334
58,304
77,881
55,394
288,431
533,486
46,252
377,330
626,228
510,125
3,298
0,456
0,453
0,277
0,12
0,463
0,428
0,73
292,178
173,335
561,391
591,20
242,121
1055,396
577,30
77,270
7,172
60,176
604,68
138,39
0,154
0,53
0,56
0,92
0,0
0,0
0,0
0,0
0,0
0,0
31,0
629,0
134,0
510,0
389,0
258,0
119,47
208,360
939,463
1036,280
901,178
749,174
1254,168
1192,147
1179,204
1153,98
843,128
1191,120
1138,134
1186,166
707,12
1027,14
1245,0
924,0
1180,0
1125,0
957,0
879,0
1245,0
1291,0
674,0
1138,0
1354,2
597,97
1450,144
1256,123
1380,140
1144,154
1349,56
742,82
1125,78
1231,100
582,23
1061,34
1220,96
721,14
1031,41
1379,64
892,117
1250,0
723,0
952,0
1043,0
1349,0
974,0
387,0
1092,0
1138,0
618,0
799,0
1340,0
487,0
302,68
1343,90
1272,152
1240,23
1344,91
1048,41
983,49
1242,32
884,54
1047,81
762,71
1233,0
822,0
5,0
4,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,101
0,98
0,362
0,112
0,0
37,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
48,304
31,296
0,245
0,540
0,10
0,0
0,0
0,0
0,0
0,0
0,0
0,1
84,163
34,169
0,335
0,257
0,196
0,333
0,40
0,203
0,166
276,277
16,182
104,16
56,69
0,220
0,100
0,180
0,167
0,132
0,105
6,52
0,0
0,0
0,0
0,0
0,0
3,0
63,33
130,145
21,232
0,178
0,137
0,234
0,169
0,66
0,384
0,459
328,237
698,168
999,137
1143,133
828,190
788,17
1106,0
726,73
1213,206
1172,187
1121,115
764,75
1207,215
1198,177
420,63
1265,56
1333,145
899,59
1300,35
692,164
1375,92
1114,108
929,69
880,86
1400,109
713,23
1271,101
657,24
1091,0
617,0
976,0
996,0
904,0
1416,0
835,0
1077,0
1349,0
1406,0
911,0
938,0
1357,3
1184,193
1410,132
1044,200
1134,136
1316,111
874,107
1107,95
1240,163
1087,86
777,63
1442,83
1287,85
371,65
978,14
870,68
750,31
926,45
650,123
259,5
1158,29
1285,87
192,35
157,44
197,12
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
52,0
194,0
58,0
585,37
360,122
0,25
0,41
0,1
0,47
0,11
0,23
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9,0
0,0
0,0
0,0
0,0
0,7
0,67
0,0
0,0
20,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
22,0
127,83
0,211
0,178
0,32
0,199
0,118
0,0
0,0
4,0
0,0
0,0
185,126
619,57
739,250
308,304
1249,270
931,109
726,66
1009,46
1082,136
1078,78
1143,55
886,99
1250,53
871,127
1188,65
238,446
181,583
90,595
0,273
0,488
0,435
0,227
0,0
0,0
0,0
15,0
0,0
0,0
0,0
0,0
0,0
97,0
68,2
287,30
0,464
276,315
222,352
0,239
0,251
0,377
0,257
0,199
0,190
1,254
116,182
82,328
0,121
0,67
0,137
0,274
0,101
0,189
0,6
0,129
0,139
0,104
0,130
0,122
0,53
0,188
0,72
0,25
0,68
0,97
0,50
0,82
0,54
0,121
0,89
0,65
0,0
0,63
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,73
0,254
0,43
287,351
1082,394
1253,424
973,282
1288,67
1062,30
850,32
1193,10
949,12
929,57
976,0
1353,0
955,0
1226,0
1137,0
1324,0
799,0
1229,0
860,0
999,0
1004,21
777,206
1244,97
1087,132
517,42
1091,56
862,62
1052,186
388,18
545,0
313,0
225,0
859,0
954,0
652,0
5,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,77
0,4
0,0
0,0
0,0
756,0
577,0
1056,0
701,0
889,0
980,0
1041,0
747,0
1157,0
576,0
892,196
867,79
676,1
664,0
4,0
410,0
81,0
0,0
0,0
0,0
0,52
0,273
0,91
0,217
0,21
0,236
0,198
0,0
0,0
0,0
0,0
2,0
0,0
59,59
0,97
0,251
0,191
0,95
0,78
0,84
0,105
0,100
0,157
4,160
93,158
0,104
0,199
0,151
0,92
0,0
0,0
116,240
377,0
184,58
181,300
103,346
210,9
103,0
196,0
199,0
134,0
143,0
163,0
94,0
79,0
120,0
49,0
150,0
542,12
105,417
32,280
62,11
117,0
22,411
118,17
92,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
116,0
67,0
36,0
83,95
78,39
60,261
19,189
6,4
0,19
443,764
132,966
0,1225
147,808
90,1104
9,953
0,1040
0,851
0,1060
0,1029
0,1193
0,761
0,1362
0,1300
0,836
0,1158
1,1169
108,648
141,1053
353,1132
170,1124
16,989
72,1069
172,1069
187,1089
30,701
30,1102
26,881
1,963
0,992
0,1245
0,1029
0,1132
0,863
0,1081
0,503
0,880
0,739
0,682
0,983
0,608
101,727
111,1188
55,832
88,1120
45,1105
25,1265
20,1305
0,1425
0,1235
0,1433
0,952
0,1159
0,796
0,1028
0,1296
0,1285
0,606
0,1254
0,955
0,1187
0,1232
132,1098
51,1125
133,1413
35,1228
0,876
0,385
0,1286
0,1275
0,1246
0,11
155,273
10,16
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
16,0
176,0
39,0
0,0
0,0
0,0
0,0
0,47
0,67
0,0
0,0
66,0
191,0
315,0
147,0
188,0
1,0
45,46
140,14
142,0
80,2
0,0
0,0
0,0
0,0
0,0
0,0
77,0
286,0
153,0
198,60
64,84
109,0
104,0
210,0
91,0
76,0
134,0
74,0
162,0
205,0
80,0
342,2
108,0
37,0
78,0
19,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
