X,CL_CON_4179,CL_HFD_4113,CD_CON_4045,CD_HFD_4277
1,-10.87536,-4.128062,-5.869954,-12.03903
2,-11.56478,-4.438472,-6.262586,-12.85738
3,-12.91997,-4.651348,-6.911531,-13.7474
4,-14.79355,-4.854606,-7.807774,-14.90927
5,-17.00212,-5.155374,-9.04278,-16.25369
6,-19.5404,-5.710651,-10.72237,-17.82555
7,-12.70535,-4.529251,-6.592344,-14.12293
8,-15.01773,-4.881428,-7.695306,-14.90534
9,-17.90798,-4.896782,-9.086054,-16.20229
10,-20.87008,-5.551194,-10.9427,-18.27576
11,-23.94613,-6.450079,-13.56228,-20.48016
12,-26.79513,-7.955173,-16.45552,-22.96681
13,-28.48341,-9.132366,-18.97602,-25.04846
14,-28.84888,-10.59072,-20.49047,-26.70478
15,-28.52296,-11.56074,-21.54605,-26.96726
16,-27.32811,-12.38797,-21.5815,-26.18372
17,-26.08574,-12.79069,-20.7027,-24.15809
18,-24.12273,-13.27222,-19.60805,-21.90194
19,-21.5888,-12.94904,-17.50342,-18.59039
20,-18.26405,-12.49546,-15.21715,-15.68693
21,-14.42681,-11.3198,-12.78664,-12.87381
22,-10.63488,-9.747227,-10.08762,-9.51596
23,-6.157508,-8.281519,-6.905236,-5.447341
24,-0.8208176,-6.726171,-3.173297,-3.63E-02
25,7.114795,-4.677024,0.4338359,8.09919
26,16.02313,-2.589911,3.926352,16.36215
27,23.32966,0.3170899,7.54375,24.58664
28,28.77676,3.001146,13.19193,35.14594
29,36.13953,6.598807,20.79532,45.97531
30,45.19273,11.10707,28.38164,54.12452
31,53.04988,15.9013,36.44214,60.17774
32,60.07251,20.64354,41.92904,65.30396
33,67.35825,24.99627,46.34311,69.72865
34,74.09544,27.4675,51.32735,73.49389
35,79.52818,30.11289,56.21081,76.245
36,84.50504,33.06697,61.22467,77.65968
37,86.1692,35.91534,65.80826,78.57381
38,86.12228,39.58283,71.90849,79.37986
39,84.4501,44.06126,78.59179,80.68689
40,82.36537,48.96652,85.09402,81.42449
41,80.61961,54.16175,91.15051,82.34849
42,79.02681,59.35892,95.24644,83.42587
43,78.57553,63.85897,97.87334,84.96781
44,78.08786,67.55128,99.58556,86.1266
45,76.99937,70.76783,100.0491,85.26221
46,74.2259,73.0097,99.82793,82.43882
47,69.24748,74.45684,98.90383,76.73211
48,62.67903,75.13261,96.79924,69.24386
49,55.88662,74.05157,93.09455,61.84233
50,49.1168,71.97055,88.20938,54.67866
51,43.40426,68.60303,81.96414,48.78586
52,38.47106,64.60447,75.20288,43.62597
53,34.83473,59.52142,68.85606,39.92862
54,32.05586,53.81144,63.2032,37.46218
55,29.7345,48.81796,58.22182,35.63638
56,28.37959,43.65298,54.43611,35.30965
57,26.8201,39.56061,51.07509,34.81599
58,26.32385,35.62249,48.14337,34.20369
59,25.57766,31.71548,45.77814,33.14975
60,23.86092,28.63452,44.58866,31.67211
61,20.96377,26.37192,43.51973,28.9711
62,18.06318,24.88532,42.8502,26.35551
63,14.90367,24.25711,42.52824,22.63495
64,11.98493,23.28984,41.5867,19.25728
65,10.33545,21.96046,40.4298,15.93374
66,10.27296,20.56281,38.56385,13.7464
67,11.09688,19.87871,36.67252,13.41597
68,11.92916,19.39057,34.43537,13.96547
69,13.20591,18.52403,31.98296,14.04549
70,13.20566,17.26527,30.13984,14.0534
71,13.42374,15.64229,28.80819,13.53741
72,12.15417,13.95112,27.69934,12.71446
73,10.07947,13.35713,27.31783,11.16117
74,6.945859,12.75152,26.87354,8.980764
75,4.103094,12.36803,26.50921,6.360203
76,1.393927,12.0683,26.16704,3.862645
77,-0.601414,12.2903,25.6015,1.804459
78,-2.076406,13.37428,24.57013,0.7711595
79,-2.933476,13.82144,23.04272,0.11705
80,-2.462501,14.65272,21.92428,0.3831211
81,-0.6061809,14.25295,19.80204,1.582835
82,1.156458,13.66005,17.81854,3.031774
83,2.812812,12.92838,15.73345,3.883276
84,3.772147,12.15842,13.6984,2.875965
85,2.571841,10.79395,11.93438,1.4831
86,0.460229,9.737922,10.91777,-0.8344192
87,-2.793484,8.907358,10.76771,-2.462088
88,-6.155417,7.13484,11.3431,-4.576901
89,-9.575665,6.437442,12.70411,-6.558208
90,-12.58487,5.61215,14.23049,-7.843018
91,-14.36812,5.425961,15.76151,-9.533856
92,-15.74748,5.370104,15.72868,-10.45514
93,-15.45958,5.754082,14.89583,-11.26605
94,-14.65606,6.137234,13.03333,-11.02559
95,-13.65295,6.59375,11.06608,-10.39213
96,-13.11902,7.267838,9.615614,-10.0503
97,-12.78726,6.560043,8.449715,-9.963902
98,-12.83246,5.581325,7.59376,-9.724575
99,-13.21269,4.510516,6.475543,-9.570247
